DeCodigo,DeNombre,DeArea,DeNorma,AGm2,SSR_count,SSR_mean,SSR_stdev,Band,Date,Decade,MonthDays,MonthSecs,SSR_Wattm2,SSR_GWatt
0,Area en Litigio Cauca - Huila,342.09908699,Límite por Acuerdo Gobernadores Informe 1982,341545099.2,3,13060713.3333333,74396.0101857321,1,1950-01-01,1950,31,2678400,4.8763117283950494,1.6654803730048109
68,Santander,30436.998027,Constitución Política de Colombia 1886,30481680840.0,250,14649384.456,585861.449207753,1,1950-01-01,1950,31,2678400,5.469453575268817,166.71813825054102
54,Norte de Santander,21951.558484,Ley No. 25 de 1910,21984110346.0,178,12866262.1460674,1452337.40722432,1,1950-01-01,1950,31,2678400,4.803711972098044,105.60533406500468
20,Cesar,22499.9945424,Ley No. 25 de 1967,22535651386.0,182,16438234.7252747,1292689.44152088,1,1950-01-01,1950,31,2678400,6.1373337534627765,138.30881390756798
8,Atlántico,3325.45549462,Ley No. 21 de 1910,3326954257.0,28,17482590.0,559642.354566608,1,1950-01-01,1950,31,2678400,6.527251344086022,21.715866645715963
13,Bolívar,26650.7055036,Constitución Política de Colombia 1886,26673532918.0,217,15974569.9815668,1377728.51036181,1,1950-01-01,1950,31,2678400,5.964221169939814,159.0868497066221
52,Nariño,31505.8470222,Ley No. 1 de 1904,31325200589.000004,254,12282309.4173228,1103600.61005975,1,1950-01-01,1950,31,2678400,4.585688999896505,143.64762776052885
99,Vichada,99094.7304645,Constitución Política de Colombia 1991,98837285959.0,816,17545409.0588235,391440.272571173,1,1950-01-01,1950,31,2678400,6.550705293766241,647.4539323531092
97,Vaupés,53060.6175648,Constitución Política de Colombia 1991,53043119583.0,435,17499664.3632184,751113.10938252,1,1950-01-01,1950,31,2678400,6.533626181010455,346.5639148299571
91,Amazonas,107982.504784,Constitución Política de Colombia 1991,10803031501.0,890,16441390.8382022,917501.805955947,1,1950-01-01,1950,31,2678400,6.138512111037262,66.31453970480555
86,Putumayo,25700.4383409,Constitución Política de Colombia 1991,25671545791.0,208,16353557.9903846,1494268.48754532,1,1950-01-01,1950,31,2678400,6.105719082431526,156.74324701162342
81,Arauca,23713.6524887,Constitución Política de Colombia 1991,23718115201.0,201,14938662.318408,1263045.29717336,1,1950-01-01,1950,31,2678400,5.577457556155914,132.2867808455939
76,Valle del Cauca,20672.3394381,Decreto No. 340 de 1910,20626025399.0,171,11170530.7251462,619441.695439318,1,1950-01-01,1950,31,2678400,4.170598389018146,86.02286830091677
70,Sucre,10584.8387135,Ley No. 47 de 1966,10587451438.0,87,15949765.3103448,703108.746488466,1,1950-01-01,1950,31,2678400,5.954960166646058,63.047851579589526
47,Magdalena,23109.4841705,Constitución Política de Colombia 1886,23134877635.0,179,16223582.2569832,1348923.58228017,1,1950-01-01,1950,31,2678400,6.057191702876046,140.1323888577746
44,La Guajira,20572.7469681,Ley No. 19 de 1964,20601279838.0,157,14681833.4394904,602409.433780009,1,1950-01-01,1950,31,2678400,5.481568637802569,112.9273294585752
94,Guainía,70918.0560825,Constitución Política de Colombia 1991,70635040513.0,581,16937891.3218589,881310.839347024,1,1950-01-01,1950,31,2678400,6.323884155413269,446.6878135171351
23,Córdoba,25083.7516199,Ley No. 9 de 1951,25064170216.0,202,14179040.4851485,890384.823274147,1,1950-01-01,1950,31,2678400,5.293847254013031,132.6858886720868
27,Chocó,48428.3157863,Ley No. 13 de 1947,48276289770.0,393,11390704.1475827,984268.2924926,1,1950-01-01,1950,31,2678400,4.25280172774145,205.30948854280288
17,Caldas,7422.20834864,Ley No.17 de 1905,7421821205.0,60,11514915.6666667,697918.304582723,1,1950-01-01,1950,31,2678400,4.299176996216659,31.907722994569
18,Caquetá,92709.0748512,Constitución Política de Colombia 1991,92795559815.0,756,17362686.8492064,1021859.81251162,1,1950-01-01,1950,31,2678400,6.482484636053763,601.5457907947455
25,Cundinamarca,23963.6537335,Constitución Política de Colombia 1886,23991860266.0,197,13677880.6091371,548950.659088205,1,1950-01-01,1950,31,2678400,5.106735591822393,122.52008673441166
41,Huila,18137.0667367,Ley No. 46 de 1905,18127660158.0,150,13471098.92,599563.895472329,1,1950-01-01,1950,31,2678400,5.029532153524492,91.17364963282589
63,Quindío,1932.97881198,Ley No. 2 de 1966,1931803144.0,15,11438048.4,471196.030423687,1,1950-01-01,1950,31,2678400,4.270478046594982,8.249722916795164
66,Risaralda,3556.50752719,Ley No. 70 de 1966,3553417190.0,28,10815510.1428571,295980.372012319,1,1950-01-01,1950,31,2678400,4.038048888462179,14.348872334321902
50,Meta,82662.11463,Ley No. 118 de 1959,82769107639.0,667,16400263.892054,1239508.71661054,1,1950-01-01,1950,31,2678400,6.123157068419206,506.808246486493
85,Casanare,44267.0440324,Constitución Política de Colombia 1991,44303862819.0,358,16040262.0949721,664205.714660837,1,1950-01-01,1950,31,2678400,5.988747795315151,265.3246607812312
