LocNombre,LocAAdmini,LocCodigo,Luminarias,Akm2,ADP,LuminDP,DLumKm2,ConskWh,A,B,C,D,CX,CY,Secuencia
ANTONIO NARIÑO,Acuerdo 117 de 2003,"15",,4.8696477030,0.2981769170,,,,4869.6477030000,2517,830.6100000000,580.8461538000,4877713.4409999996,2065148.6490000000,15
TUNJUELITO,Acuerdo 117 de 2003,"06",7124,9.8910700200,0.6056472560,2.0602337860,720.2456342000,141055.2000000000,9891.0700200000,5113,1687.2900000000,1179.9230760000,4874035.1059999997,2063614.9870000000,6
RAFAEL URIBE URIBE,Acuerdo 117 de 2003,"18",16534,13.8061316000,0.8453732210,4.7815701040,1197.5838320000,327373.2000000000,13806.1315900000,7137,2355.2100000000,1647.0000000000,4876542.9069999997,2062686.6599999999,18
CANDELARIA,Acuerdo 117 de 2003,"17",2985,2.0560205230,0.1258936780,0.8632506810,1451.8337560000,59103.0000000000,2056.0205230000,1062,350.4600000000,245.0769230000,4881127.1869999999,2066009.2549999999,17
BARRIOS UNIDOS,Acuerdo 8 de 1977,"12",11736,11.8790741100,0.7273761710,3.3940066970,987.9557860000,232372.8000000000,11879.0741100000,6140,2026.2000000000,1416.9230760000,4880975.1720000003,2074072.6760000000,12
TEUSAQUILLO,Acuerdo 8 de 1977,"13",14472,14.1642118200,0.8672990900,4.1852475230,1021.7299890000,286545.6000000000,14164.2118200000,7322,2416.2600000000,1689.6923070000,4879615.6560000004,2070936.9380000001,13
PUENTE ARANDA,Acuerdo 8 de 1977,"16",19057,17.2761530900,1.0578486150,5.5112121370,1103.0812180000,377328.6000000000,17276.1530900000,8931,2947.2300000000,2061.0000000000,4876749.1459999997,2068186.4620000001,16
LOS MARTIRES,Acuerdo 8 de 1977,"14",7220,6.5007637110,0.3980529600,2.0879966220,1110.6387370000,142956.0000000000,6500.7637110000,3360,1108.8000000000,775.3846153000,4879368.2699999996,2067177.9140000001,14
SUMAPAZ,Acuerdo 9 de 1986,"20",,779.4694708000,47.7282584700,,,,779469.4708000000,402951,132973.8300000000,92988.6923000000,4860516.4359999998,2004145.4290000000,20
USAQUEN,Acuerdo 8 de 1977 y Res 1751 de 2016,"01",25587,65.0656966300,3.9840846920,7.3996633750,393.2486905000,506622.6000000000,65065.6966300000,33636,11099.8800000000,7762.1538460000,4886050.8810000001,2082061.5989999999,1
CHAPINERO,Acuerdo 8 de 1977 y Res 1751 de 2016,"02",12918,37.9300725200,2.3225236820,3.7358366150,340.5740917000,255776.4000000000,37930.0725200000,19608,6470.6400000000,4524.9230760000,4885030.8700000001,2071343.3419999999,2
SANTA FE,Acuerdo 117 de 2003,"03",9185,45.0769406200,2.7601387270,2.6562671710,203.7627193000,181863.0000000000,45076.9406200000,23302,7689.6600000000,5377.3846150000,4885102.6459999997,2065712.5020000001,3
SAN CRISTOBAL,Acuerdo 117 de 2003,"04",17475,48.9977186900,3.0002147220,5.0537037350,356.6492577000,346005.0000000000,48997.7186900000,25329,8358.5700000000,5845.1538460000,4881784.5060000001,2060719.5830000001,4
USME,Acuerdo 15 de 1993,"05",17029,214.6365736000,13.1425671500,4.9247222270,79.3387618600,337174.2000000000,214636.5736000000,110957,36615.8100000000,25605.4615300000,4873246.5779999997,2043190.4520000000,5
CIUDAD BOLIVAR,Acuerdo 14 de 1983,"19",25858,129.7443233000,7.9444684260,7.4780355480,199.2996636000,511988.4000000000,129744.3233000000,67072,22133.7600000000,15478.1538400000,4871138.6200000001,2053409.5500000000,19
BOSA,Acuerdo 14 de 1983,"07",21975,23.8861858100,1.4625923050,6.3550866720,919.9878195000,435105.0000000000,23886.1858100000,12348,4074.8400000000,2849.5384610000,4867567.1909999996,2068813.0000000000,7
KENNEDY,Acuerdo 8 de 1977,"08",40209,38.5128148200,2.3582059970,11.6282903200,1044.0420980000,796138.2000000000,38512.8148200000,19909,6569.9700000000,4594.3846150000,4872195.3609999996,2069752.1769999999,8
FONTIBON,Acuerdo 8 de 1977,"09",17842,33.2143820800,2.0337738320,5.1598387440,537.1769360000,353271.6000000000,33214.3820800000,17170,5666.1000000000,3962.3076920000,4873591.9069999997,2075036.4970000000,9
ENGATIVA,Acuerdo 8 de 1977,"10",36622,35.8084459700,2.1926128330,10.5909435300,1022.7196120000,725115.6000000000,35808.4459700000,18511,6108.6300000000,4271.7692300000,4876585.7599999998,2077567.1760000000,10
SUBA,Acuerdo 8 de 1977,"11",41958,100.3547012000,6.1448912350,12.1340944900,418.0970049000,830768.4000000000,100354.7012000000,51878,17119.7400000000,11971.8461500000,4880736.7630000003,2084421.4250000000,11
