DeCodigo,DeNombre,DeArea,DeNorma,DCNum,AGm2,SSR_stat_depto_DeNombre,SSR_stat_depto_count,SSR_stat_depto_unique,SSR_stat_depto_min,SSR_stat_depto_max,SSR_stat_depto_range,SSR_stat_depto_sum,SSR_stat_depto_mean,SSR_stat_depto_median,SSR_stat_depto_stddev,SSR_stat_depto_minority,SSR_stat_depto_majority,SSR_stat_depto_q1,SSR_stat_depto_q3,SSR_stat_depto_iqr,SSR_count,SSR_mean,SSR_stdev,Band,Date,Decade,Year,Month,MonthDays,MonthSecs,SSR_Wattm2,SSR_GWatt
0,Area en Litigio Cauca - Huila,342.09908699,Límite por Acuerdo Gobernadores Informe 1982,0,341545099.2343375,Area en Litigio Cauca - Huila,75,75,52781702.0,192076061.333333,139294359.333333,12759340690.3333,170124542.537778,172292065.0,15993047.2460056,52781702.0,52781702.0,168741595.666667,176692299.166667,7950703.49999949,3,13060713.3333333,74396.0101857321,1,1950-01-01,1950,1950,1,31,2678400,4.8763117283950494,1.665480373172251
17,Caldas,7422.20834864,Ley No.17 de 1905,17,7421821205.741959,Caldas,75,75,58023847.7666667,190973003.633333,132949155.866666,13066248930.6333,174216652.408444,177218679.166667,16480150.5533532,58023847.7666667,58023847.7666667,170085903.516667,181940973.541667,11855070.025,60,11514915.6666667,697918.304582723,1,1950-01-01,1950,1950,1,31,2678400,4.299176996216659,31.90772299775881
18,Caquetá,92709.0748512,Constitución Política de Colombia 1991,18,92795559818.93591,Caquetá,75,75,55552738.7301587,189083016.203704,133530277.473545,12557170342.7937,167428937.903915,168503225.896825,15241734.3754776,55552738.7301587,55552738.7301587,165088216.829365,173348458.753307,8260241.92394197,756,17362686.8492064,1021859.81251162,1,1950-01-01,1950,1950,1,31,2678400,6.482484636053763,601.54579082026
25,Cundinamarca,23963.6537335,Constitución Política de Colombia 1886,25,23991860267.188343,Cundinamarca,75,75,56063401.0253807,189119239.532995,133055838.507614,12919466173.797,172259548.983959,174314816.411168,15661386.9661896,56063401.0253807,56063401.0253807,170162784.472081,178882589.926396,8719805.45431453,197,13677880.6091371,548950.659088205,1,1950-01-01,1950,1950,1,31,2678400,5.106735591822393,122.52008674048022
41,Huila,18137.0667367,Ley No. 46 de 1905,41,18127660158.981224,Huila,75,75,54524803.0933333,195238649.773333,140713846.68,13075030001.6,174333733.354667,176131275.26,16073421.6746085,54524803.0933333,54524803.0933333,173174333.11,180568787.143333,7394454.033333,150,13471098.92,599563.895472329,1,1950-01-01,1950,1950,1,31,2678400,5.029532153524492,91.17364963776096
50,Meta,82662.11463,Ley No. 118 de 1959,50,82769107641.7761,Meta,75,75,59883904.8605697,199077607.697151,139193702.836581,13195495476.8846,175939939.691794,176960276.338831,15691110.6453051,59883904.8605697,59883904.8605697,173650040.60045,182352350.182908,8702309.58245847,667,16400263.892054,1239508.71661054,1,1950-01-01,1950,1950,1,31,2678400,6.123157068419206,506.8082465034914
63,Quindío,1932.97881198,Ley No. 2 de 1966,63,1931803144.9150896,Quindío,75,75,54040048.5333333,186300993.066667,132260944.533334,12427720056.2667,165702934.083556,168640591.0,16062519.3606581,54040048.5333333,54040048.5333333,162386710.4,173553469.6,11166759.2,15,11438048.4,471196.030423687,1,1950-01-01,1950,1950,1,31,2678400,4.270478046594982,8.249722920703034
66,Risaralda,3556.50752719,Ley No. 70 de 1966,66,3553417190.139796,Risaralda,75,75,47936471.2857143,169375387.214286,121438915.928572,10935803060.8214,145810707.477619,147213358.0,14630171.4487799,47936471.2857143,47936471.2857143,143102836.875,152517770.678571,9414933.80357149,28,10815510.1428571,295980.372012319,1,1950-01-01,1950,1950,1,31,2678400,4.038048888462179,14.3488723348864
73,Tolima,24128.1304258,Constitución Política de Colombia 1886,73,24128216215.72007,Tolima,75,75,56725047.5376885,194372155.829146,137647108.291458,13182031861.6884,175760424.822513,178919351.678392,16215114.7830896,56725047.5376885,56725047.5376885,173097914.899498,182435314.876884,9337399.97738698,199,12528586.0603015,521991.938567488,1,1950-01-01,1950,1950,1,31,2678400,4.6776381646884335,112.86306501650652
85,Casanare,44267.0440324,Constitución Política de Colombia 1991,85,44303862821.21769,Casanare,75,75,62812188.6480447,198454850.212291,135642661.564246,13437652557.5531,179168700.767374,180674253.455307,15665414.1627254,62812188.6480447,62812188.6480447,176004295.543296,185975694.372905,9971398.82960901,358,16040262.0949721,664205.714660837,1,1950-01-01,1950,1950,1,31,2678400,5.988747795315151,265.3246607945123
95,Guaviare,55403.2010091,Constitución Política de Colombia 1991,95,55467756660.2272,Guaviare,75,75,58309386.4672489,188970031.196507,130660644.729258,12511807643.1354,166824101.908472,167438671.89083,14826267.0324066,58309386.4672489,58309386.4672489,163862152.894105,172579249.919214,8717097.02510998,458,17851853.5895196,293739.641519474,1,1950-01-01,1950,1950,1,31,2678400,6.665118574342743,369.69917519320376
5,Antioquia,62785.8059101,Constitución Política de Colombia 1886,5,62751201645.1085,Antioquia,75,75,57007792.5009785,183859393.299413,126851600.798434,12613024618.9393,168173661.585858,170456933.60274,15502221.4626161,57007792.5009785,57007792.5009785,164392419.598826,175285859.472602,10893439.8737765,511,12602390.7240705,1084769.47926253,1,1950-01-01,1950,1950,1,31,2678400,4.705193669381161,295.2565567266252
15,Boyacá,23057.4616122,Constitución Política de Colombia 1886,15,23091524181.914272,Boyacá,75,75,59263358.8478261,191629603.63587,132366244.788044,13364400860.1522,178192011.468696,179864109.358696,15722190.6066202,59263358.8478261,59263358.8478261,176726921.089674,185044454.149457,8317533.05978301,184,14737610.9673913,581570.603739114,1,1950-01-01,1950,1950,1,31,2678400,5.50239358101527,127.058654434424
19,Cauca,30918.6685661,Constitución Política de Colombia 1886,19,30826948349.202595,Cauca,75,75,49031781.8023716,166768830.711462,117737048.90909,11414557901.4387,152194105.352516,154271419.146245,13695489.886086,49031781.8023716,49031781.8023716,151141761.15415,156153907.839921,5012146.68577099,253,12053201.4150198,1491003.04165929,1,1950-01-01,1950,1950,1,31,2678400,4.500149871199149,138.72588764312687
23,Córdoba,25083.7516199,Ley No. 9 de 1951,23,25064170217.70231,Córdoba,75,75,56174642.3366337,178781698.821782,122607056.485148,12422280664.7525,165630408.863366,167130357.589109,14410660.7460156,56174642.3366337,56174642.3366337,164320254.163366,171292432.589109,6972178.42574301,202,14179040.4851485,890384.823274147,1,1950-01-01,1950,1950,1,31,2678400,5.293847254013031,132.68588868109856
27,Chocó,48428.3157863,Ley No. 13 de 1947,27,48276289771.64305,Chocó,75,75,43692639.8625954,151613438.513995,107920798.6514,9536283738.12213,127150449.841628,128707641.045802,12718889.643653,43692639.8625954,43692639.8625954,123099939.712468,132204141.357506,9104201.6450385,393,11390704.1475827,984268.2924926,1,1950-01-01,1950,1950,1,31,2678400,4.25280172774145,205.30948854979047
44,La Guajira,20572.7469681,Ley No. 19 de 1964,44,20601279839.217503,La Guajira,75,75,65673486.4076433,204014578.101911,138341091.694268,14398505166.7261,191980068.889682,193965582.305732,16131847.7694576,65673486.4076433,65673486.4076433,190787036.697452,198044824.901273,7257788.20382148,157,14681833.4394904,602409.433780009,1,1950-01-01,1950,1950,1,31,2678400,5.481568637802569,112.92732946524902
47,Magdalena,23109.4841705,Constitución Política de Colombia 1886,47,23134877636.278103,Magdalena,75,75,62267072.5251397,193397144.396648,131130071.871508,13450230168.8883,179336402.251844,181164618.01676,15407520.5513306,62267072.5251397,62267072.5251397,177999197.00838,185485018.240223,7485821.2318435,179,16223582.2569832,1348923.58228017,1,1950-01-01,1950,1950,1,31,2678400,6.057191702876046,140.1323888655163
70,Sucre,10584.8387135,Ley No. 47 de 1966,70,10587451438.806707,Sucre,75,75,59781547.954023,189649079.781609,129867531.827586,13110448673.2759,174805982.310345,176726381.850575,15335535.3646775,59781547.954023,59781547.954023,172955946.649425,180609761.925287,7653815.27586201,87,15949765.3103448,703108.746488466,1,1950-01-01,1950,1950,1,31,2678400,5.954960166646058,63.04785158439344
76,Valle del Cauca,20672.3394381,Decreto No. 340 de 1910,76,20626025400.45425,Valle del Cauca,75,75,45341616.7017544,154319230.128655,108977613.426901,10196062358.8538,135947498.118051,137154788.549708,12666195.8729214,45341616.7017544,45341616.7017544,133752762.763158,140889550.80117,7136788.03801201,171,11170041.9415205,619832.135298915,1,1950-01-01,1950,1950,1,31,2678400,4.170415898118467,86.01910424504975
81,Arauca,23713.6524887,Constitución Política de Colombia 1991,81,23718115202.68104,Arauca,75,75,60693741.8706468,185443888.915423,124750147.044776,12666397408.005,168885298.7734,170166950.149254,14784450.6476803,60693741.8706468,60693741.8706468,165420049.689054,176344849.032339,10924799.343284,201,14938662.318408,1263045.29717336,1,1950-01-01,1950,1950,1,31,2678400,5.577457556155914,132.28678085496983
86,Putumayo,25700.4383409,Constitución Política de Colombia 1991,86,25671545792.177326,Putumayo,75,75,51668682.7307692,185513094.307692,133844411.576923,12311670503.25,164155606.71,166110600.793269,15478725.6451481,51668682.7307692,51668682.7307692,161153508.646635,169986841.884615,8833333.23798001,208,16353557.9903846,1494268.48754532,1,1950-01-01,1950,1950,1,31,2678400,6.105719082431526,156.74324701881187
91,Amazonas,107982.504784,Constitución Política de Colombia 1991,91,108030315018.91795,Amazonas,75,75,56297372.0449438,185588144.657303,129290772.612359,12366523472.0067,164886979.626757,165311210.011236,14819191.7988067,56297372.0449438,56297372.0449438,162882247.342696,169678766.549439,6796519.20674202,890,16441390.8382022,917501.805955947,1,1950-01-01,1950,1950,1,31,2678400,6.138512111037262,663.1453971027985
